fips,county_name,state_name,life_expectancy,name,median_hh_income,median_age,population,log_population,pct_bachelors_plus,pct_poverty,pct_nhwhite,pct_native_american,land_sqmi,pop_density
01001,Autauga County,Alabama,75.263497074,"Autauga County, Alabama",68315,39.0,58761,4.769089178043788,29.558574698915095,11.373968537166974,72.55662769524004,0.1004067323564949,594.455,104.162636364401
01003,Baldwin County,Alabama,76.738313887,"Baldwin County, Alabama",71039,43.7,233420,5.368138064723547,32.561578714181366,10.21395057049129,82.32413674920743,0.2193470996487019,1589.943,168.40918196438489
01005,Barbour County,Alabama,72.377024232,"Barbour County, Alabama",39712,40.6,24877,4.395798006163393,11.88118811881188,24.16365383735298,44.55521164127507,0.2532459701732524,885.008,27.80426843599154
01007,Bibb County,Alabama,72.251369089,"Bibb County, Alabama",50669,40.3,22251,4.347349533731457,10.919937205651491,20.622960261086583,74.2438542087996,0.0674127005527841,622.47,35.76397256092663
01009,Blount County,Alabama,73.376568119,"Blount County, Alabama",57440,40.8,59077,4.771418433211914,14.741406766788348,14.173187897053031,85.67462802782809,0.126952959696667,644.905,93.27885502515876
01011,Bullock County,Alabama,72.100111622,"Bullock County, Alabama",36136,39.2,10328,4.014016229258364,9.376746785913918,27.943011647254572,20.575135553834237,0.0,622.815,15.7028973290624
01013,Butler County,Alabama,73.1898895,"Butler County, Alabama",44429,41.6,18981,4.278319089178812,13.048394391677972,21.107656015440703,50.866656129814025,0.3635214161529951,776.839,23.299551129642047
01015,Calhoun County,Alabama,71.694077832,"Calhoun County, Alabama",54339,39.2,116162,5.065064080813718,19.153437812773184,18.039163328882953,70.46280194900226,0.1497908093868907,605.894,191.17865501226288
01017,Chambers County,Alabama,72.46019745,"Chambers County, Alabama",48805,42.2,34612,4.539226695042995,12.733748886910062,17.87814631851329,54.29908702184214,0.0288917138564659,596.559,57.41762340355271
01019,Cherokee County,Alabama,72.711629744,"Cherokee County, Alabama",46621,46.8,25069,4.399137010338601,14.592668574205042,14.259063995457865,90.74554230324306,0.4507559136782481,553.617,47.7098788512636
01021,Chilton County,Alabama,73.487855388,"Chilton County, Alabama",62471,39.9,45140,4.654561554741743,13.973014472867456,14.450619923044036,79.11829862649535,0.0376606114311032,692.838,68.85880970731975
01023,Choctaw County,Alabama,73.840201715,"Choctaw County, Alabama",43299,46.7,12669,4.10274233614457,13.0468404772426,19.142284569138276,56.53169153050753,0.2210119188570526,913.479,13.031498261043769
01025,Clarke County,Alabama,70.976784154,"Clarke County, Alabama",47549,42.7,23058,4.362821634847992,13.768342179206993,22.360823379027636,51.21432908318154,0.0650533437418683,1238.42,17.77587571260154
01027,Clay County,Alabama,71.805610712,"Clay County, Alabama",48074,43.9,14209,4.152563514256539,12.762359494678204,17.570389572981927,80.12527271447674,0.0,603.962,23.523003102844218
01029,Cleburne County,Alabama,72.033794262,"Cleburne County, Alabama",51553,42.2,15144,4.180240600955741,16.49106302916275,12.89224195486714,92.2081352350766,0.1452720549392498,560.128,28.511340265082264
